ActivityType;StartTime;EndTime;AltitudeAvg;AltitudeMin;AltitudeMax;Ascent;Descent;Distance;Duration;HrAvg;HrMin;HrMax;Calories;SpeedAvg;SpeedMax;CadenceAvg;CadenceMax
Biking;2020-07-01 15:53:44+00:00;2020-07-01 16:57:16+00:00;35.34220592157985;13.399999618530273;65.0;517.5999889373779;522.5999889373779;23961.95;3812.0;147.62090647105057;90;None;712;22.629333683105983;None;None;None
Other;2020-07-03 09:55:34+00:00;2020-07-03 14:53:10+00:00;-5.4385542199504116;-23.799999237060547;40.400001525878906;2277.399996072054;2290.799997597933;96628.17;17856.0;151.72647800504342;83;None;2977;19.481485887096774;None;None;None
Running;2020-07-04 10:31:09+00:00;2020-07-04 11:35:33+00:00;118.03169041196762;98.4000015258789;142.0;267.4000473022461;261.80004119873047;10308.12;3864.0;148.69445161290324;90;None;749;9.603838509316772;None;None;None
Other;2020-07-04 11:45:53+00:00;2020-07-04 12:05:18+00:00;None;None;None;0;0;614.48;1165.0;131.41666666666666;117;None;139;1.8988223175965666;None;None;None
Other;2020-07-05 10:15:44+00:00;2020-07-05 10:59:26+00:00;55.14629623625014;30.600000381469727;76.4000015258789;198.5999813079834;200.5999813079834;3632.5;2622.0;111.3449074074074;79;None;257;4.987414187643021;None;None;None
Biking;2020-07-08 16:42:27+00:00;2020-07-08 18:19:35+00:00;107.07964359856044;77.4000015258789;137.39999389648438;681.6000900268555;682.2000961303711;39791.44;5828.0;145.85726525017134;90;None;990;24.579475634866164;None;None;None
Other;2020-07-09 17:13:28+00:00;2020-07-09 18:13:39+00:00;125.78661869756748;112.0;139.39999389648438;359.40003967285156;357.80003356933594;16874.19;3611.0;151.36991982305778;74;None;726;16.822787039601216;None;None;None
Running;2020-07-11 11:01:08+00:00;2020-07-11 14:39:49+00:00;68.53961446137194;43.79999923706055;88.19999694824219;75.59999084472656;75.59999084472656;21292.31;13121.0;100.02398286937901;81;None;1404;5.8419568630439755;None;None;None
Running;2020-07-13 18:19:40+00:00;2020-07-13 19:02:55+00:00;38.18639507997412;27.799999237060547;56.79999923706055;192.60003089904785;187.60003089904785;10076.95;2595.0;143.5065334358186;106;None;572;13.979583815028903;None;None;None
Other;2020-07-14 16:36:14+00:00;2020-07-14 17:35:26+00:00;141.04822937835127;127.19999694824219;154.8000030517578;343.5998764038086;341.7998733520508;16795.63;3552.0;159.47554806070826;90;None;802;17.022597972972974;None;None;None
Biking;2020-07-15 15:06:36+00:00;2020-07-15 15:19:23+00:00;130.13057036721028;121.19999694824219;144.1999969482422;65.20008850097656;65.00009155273438;4803.349999999999;767.0;130.5336787564767;76;None;125;22.545058670143412;None;None;None
Biking;2020-07-15 15:20:03+00:00;2020-07-15 18:15:40+00:00;104.29550800005354;82.5999984741211;138.1999969482422;1005.0000686645508;1000.2000732421875;73761.97;10537.0;158.62029397818873;98;None;1972;25.20101471006928;None;None;None
Other;2020-07-16 16:16:19+00:00;2020-07-16 18:24:18+00:00;133.59125752247013;124.19999694824219;147.60000610351562;58.80005645751953;58.80005645751953;12089.98;7679.0;105.46133154001345;56;None;851;5.6679161349134;None;None;None
